camp_id,camp_name,current_location,website,needs_address,needs_sessions,session_count
"370cf10c-6876-403e-916f-01bfefcb6cb2","ACAC Midlothian Summer Camp","13501 Waterford Place Parkway, Midlothian, VA 23113","https://acac.com/midlothian/programs-events/youth/summer-camp/",,YES,0
"bc7b3232-2f0c-46b8-b869-5932a3e160a8","Art Factory Summer Art Camp","4810 Market Square Lane Midlothian VA 23112","https://artfactoryva.com/admission/",,YES,0
"91de4858-4f00-45ef-84fd-408a1020215c","Bach to Rock Midlothian","11400 W Huguenot Road #105, Midlothian, VA","https://www.b2rmusic.com",,YES,0
"060bfd6d-0cba-4616-989d-d6eae1454512","Bella Ballerina Dance Camp, Chesterfield","13924 Hull Street Road Midlothian, VA 23112","https://www.bellaballerinarva.com/summer-dance-camp.html",,YES,0
"8904e113-9f8c-4515-a3d9-298fc57e0473","Bella Ballerina Dance Camp, Short Pump","3411 Cox Road ​Henrico, VA 23233","https://www.bellaballerinarva.com/summer-dance-camp.html",,YES,0
"4d70fd67-0c63-47f4-8bbc-1467e04cbf51","Blue Sky Fund Outdoor Leadership Institute","1806 Creighton Road, Richmond, VA","https://blueskyfund.org",,YES,0
"4fed686d-59c3-4c3e-9664-bdfe1363cc23","Bricks 4 Kidz Richmond","Multiple Richmond locations","https://www.bricks4kidz.com",YES,YES,0
"0d9e8c41-1d2a-4d89-b951-06c1d7b5e327","Brilliant Summer at St. Catherine's School","6001 Grove Avenue, Richmond, VA","https://www.st.catherines.org/summer-programs-overview/brilliant-summer-camps",,YES,0
"1943d3dc-d1c3-438b-98d1-6e2e9cb029ab","Camp Baker at SOAR 365","7600 Beach Road, Chesterfield, VA 23838","https://soar365.org",,YES,0
"81449156-6ce9-40f0-a7d2-60587c1e5289","Camp C.H.E.F. with Edible Education","Stony Point Fashion Park & Waterford Place, Richmond, VA","https://www.edibleedu.com/",YES,YES,0
"c4d5ec4b-aaa7-4d7b-b978-a99e54bd0f84","Camp Thunderbird (YMCA)","Near Pocahontas State Park, Chesterfield, VA","https://www.ymcarichmond.org/programs/camp/",YES,YES,0
"cfec49c4-58f5-4a79-94fa-e9e8873bc104","Camp Tuckahoe (Tuckahoe Sports Training Center)","2450 Little League Drive, Henrico, VA","http://www.tuckahoesports.org",,YES,0
"015d7ea8-a7f7-4bb4-aa37-764f1d8d0499","Challenger Sports British Soccer Camps","Various Richmond locations","https://www.challengersports.com",YES,YES,0
"0260bd5c-4882-4645-995d-65bf8270f51a","CharacterWorks Musical Theater Camps","Multiple Richmond locations","https://www.cworkstheater.org/camps/",YES,,9
"9cb16667-0680-43fa-965e-c3325420ee2b","Civil War Adventure Camp at Pamplin Historical Park","6125 Boydton Plank Road, Petersburg, VA","https://pamplinpark.org",,YES,0
"54cdbc57-f361-4ac9-af1f-00b285d63309","Club SciKidz / Tech Scientific","Millwood School (Midlothian) and St. Christopher's School (Richmond)","https://richmond.clubscikidz.com/",YES,YES,0
"15844129-6b4b-49fc-829c-a6f201c83ef1","Collegiate School Lower School Enrichment","5050 Ridgedale Parkway, Richmond, VA 23234","https://www.collegiate-va.org/enrichment-ls#enrichment-ls",,YES,0
"f48735d4-2a32-4233-84ff-3fce19135f3c","Cultural Arts Center at Glen Allen Summer Camps","2880 Mountain Road, Glen Allen, VA 23060","https://artsglenallen.com",,YES,0
